# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 260:         5.180       52.100       1.90  DE BILT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# TG       = Etmaalgemiddelde temperatuur (in 0.1 graden Celsius); 
# TN       = Minimum temperatuur (in 0.1 graden Celsius); 
# TX       = Maximum temperatuur (in 0.1 graden Celsius); 
# 
# STN,YYYYMMDD,   TG,   TN,   TX
# 
  260,20150101,   30,   10,   47
  260,20150102,   73,   44,  101
  260,20150103,   38,   26,   59
  260,20150104,   39,   -3,   80
  260,20150105,   24,    9,   38
  260,20150106,   28,    6,   58
  260,20150107,   45,   24,   72
  260,20150108,   65,   36,   82
  260,20150109,   99,   58,  137
  260,20150110,   95,   54,  133
  260,20150111,   64,   49,   82
  260,20150112,   84,   64,  102
  260,20150113,   86,   41,  110
  260,20150114,   44,   31,   60
  260,20150115,   79,   58,  103
  260,20150116,   55,   27,   83
  260,20150117,   30,   -9,   59
  260,20150118,   22,   10,   33
  260,20150119,   10,    5,   16
  260,20150120,    8,  -22,   37
  260,20150121,   -5,  -19,   15
  260,20150122,  -12,  -29,    4
  260,20150123,  -28,  -57,  -13
  260,20150124,   22,  -17,   68
  260,20150125,   37,  -21,   56
  260,20150126,   59,   41,   83
  260,20150127,   51,   30,   77
  260,20150128,   53,   30,   72
  260,20150129,   24,    2,   45
  260,20150130,   17,   -3,   44
  260,20150131,   10,  -25,   44
  260,20150201,   26,  -15,   57
  260,20150202,   20,    6,   55
  260,20150203,   17,  -16,   63
  260,20150204,    2,  -40,   53
  260,20150205,   -7,  -38,   20
  260,20150206,   -2,  -20,   31
  260,20150207,   15,  -51,   55
  260,20150208,   50,   34,   67
  260,20150209,   57,   44,   72
  260,20150210,   57,   46,   72
  260,20150211,   42,   31,   54
  260,20150212,   26,   -3,   45
  260,20150213,   46,   -3,   99
  260,20150214,   66,   47,  102
  260,20150215,   26,  -35,   67
  260,20150216,    9,  -49,   77
  260,20150217,   33,  -30,   90
  260,20150218,   18,  -34,   81
  260,20150219,   35,   -3,   74
  260,20150220,   53,   34,   65
  260,20150221,   32,    4,   63
  260,20150222,   32,  -18,   68
  260,20150223,   59,   27,   98
  260,20150224,   54,   35,   89
  260,20150225,   48,   16,   87
  260,20150226,   63,   37,   83
  260,20150227,   49,   -3,   82
  260,20150228,   51,   -5,   91
  260,20150301,   83,   60,  107
  260,20150302,   53,   16,   84
  260,20150303,   44,   30,   75
  260,20150304,   51,   28,   76
  260,20150305,   57,   11,  103
  260,20150306,   66,   46,   90
  260,20150307,   84,   40,  139
  260,20150308,   93,   40,  157
  260,20150309,   88,   67,  113
  260,20150310,   76,   -7,  113
  260,20150311,   27,  -20,   95
  260,20150312,   54,  -29,  127
  260,20150313,   46,    7,   92
  260,20150314,   34,    7,   53
  260,20150315,   56,   45,   68
  260,20150316,   63,    6,  128
  260,20150317,   76,  -17,  178
  260,20150318,   56,    6,   88
  260,20150319,   68,    7,  126
  260,20150320,   49,    6,   93
  260,20150321,   64,   39,   93
  260,20150322,   43,  -15,   86
  260,20150323,   31,  -29,   93
  260,20150324,   57,  -21,  115
  260,20150325,   59,   50,   69
  260,20150326,   50,    3,   73
  260,20150327,   57,   -4,   89
  260,20150328,   69,   -6,  117
  260,20150329,   93,   75,  113
  260,20150330,   72,   53,   91
  260,20150331,   90,   58,  111
  260,20150401,   65,   34,   91
  260,20150402,   63,   41,   86
  260,20150403,   70,   45,   95
  260,20150404,   54,   18,   94
  260,20150405,   53,  -22,  113
  260,20150406,   69,   16,  117
  260,20150407,   71,    6,  132
